RefDes,Layer,LocationX,LocationY,Rotation
21-SW1,Top,13.100,4.800,90
21-U2,Bottom,13.125,4.575,270
22-C1,Bottom,2.300,7.100,270
22-D1,Bottom,2.400,7.100,270
22-D2,Bottom,2.500,7.100,270
22-F1,Bottom,0.600,5.800,0
22-F2,Bottom,3.500,7.600,0
22-JP2,Bottom,1.450,7.900,180
22-JP4,Bottom,2.050,7.900,180
22-JP7,Bottom,2.650,7.900,180
22-U1,Bottom,2.350,7.300,180
23-C1,Bottom,5.700,7.100,270
23-D1,Bottom,5.800,7.100,270
23-D2,Bottom,5.900,7.100,270
23-F1,Bottom,4.000,5.800,0
23-F2,Bottom,6.900,7.600,0
23-JP2,Bottom,4.850,7.900,180
23-JP4,Bottom,5.450,7.900,180
23-JP7,Bottom,6.050,7.900,180
23-U1,Bottom,5.750,7.300,180
24-C1,Bottom,9.100,7.100,270
24-D1,Bottom,9.200,7.100,270
24-D2,Bottom,9.300,7.100,270
24-F1,Bottom,7.400,5.800,0
24-F2,Bottom,10.300,7.600,0
24-JP2,Bottom,8.250,7.900,180
24-JP4,Bottom,8.850,7.900,180
24-JP7,Bottom,9.450,7.900,180
24-U1,Bottom,9.150,7.300,180
25-C1,Bottom,12.500,7.100,270
25-D1,Bottom,12.600,7.100,270
25-D2,Bottom,12.700,7.100,270
25-F1,Bottom,10.800,5.800,0
25-F2,Bottom,13.700,7.600,0
25-JP2,Bottom,11.650,7.900,180
25-JP4,Bottom,12.250,7.900,180
25-JP7,Bottom,12.850,7.900,180
25-U1,Bottom,12.550,7.300,180
26-C1,Bottom,0.775,8.250,180
26-C2,Bottom,0.850,8.950,90
26-C3,Bottom,0.775,8.725,180
26-C4,Bottom,0.775,8.800,180
26-C5,Bottom,1.475,8.675,0
26-C6,Bottom,1.363,8.237,180
26-D1,Bottom,0.625,8.675,270
26-F1,Top,0.775,8.275,0
26-F2,Top,1.350,9.050,0
26-F3,Bottom,1.350,9.050,0
26-F4,Bottom,0.700,8.075,0
26-JP1,Bottom,0.625,8.250,270
26-JP2,Bottom,1.100,8.825,0
26-L1,Bottom,0.625,8.450,90
26-LED1,Top,0.900,8.100,90
26-R1,Bottom,0.775,8.325,180
26-R2,Bottom,1.350,8.825,270
26-R3,Bottom,0.725,8.625,90
26-R4,Bottom,0.825,8.625,270
26-R5,Bottom,1.475,8.350,90
26-R6,Bottom,1.475,8.200,90
26-R7,Bottom,0.812,8.175,0
26-SW1,Top,0.700,8.075,0
26-SW2,Top,1.100,8.075,0
26-SW3,Top,1.500,8.075,0
26-U1,Top,1.100,8.730,0
26-U2,Bottom,0.775,8.450,180
26-U3,Bottom,1.100,8.338,180
26-U4,Bottom,1.475,8.537,0
27-C1,Bottom,2.275,8.250,180
27-C2,Bottom,2.350,8.950,90
27-C3,Bottom,2.275,8.725,180
27-C4,Bottom,2.275,8.800,180
27-C5,Bottom,2.975,8.675,0
27-C6,Bottom,2.863,8.237,180
27-D1,Bottom,2.125,8.675,270
27-F1,Top,2.275,8.275,0
27-F2,Top,2.850,9.050,0
27-F3,Bottom,2.850,9.050,0
27-F4,Bottom,2.200,8.075,0
27-JP1,Bottom,2.125,8.250,270
27-JP2,Bottom,2.600,8.825,0
