RefDes,Layer,LocationX,LocationY,Rotation
14-C6,Bottom,3.069,4.487,180
14-C7,Top,2.888,5.144,270
14-C8,Bottom,3.056,4.800,180
14-C9,Bottom,3.056,4.875,180
14-D1,Top,2.775,4.575,270
14-D2,Bottom,2.687,4.668,270
14-D3,Bottom,2.560,4.665,270
14-D4,Bottom,2.425,4.663,270
14-D5,Bottom,2.225,4.663,270
14-D6,Bottom,2.086,4.831,90
14-D7,Bottom,2.094,4.669,270
14-F1,Top,2.325,5.275,0
14-F2,Top,3.119,4.712,0
14-F3,Bottom,2.325,5.300,0
14-F4,Bottom,2.925,4.300,0
14-JP1,Top,2.912,4.260,0
14-JP2,Bottom,2.600,5.025,0
14-L1,Bottom,3.056,5.100,0
14-LED1,Top,2.400,5.023,90
14-LED2,Top,2.400,5.150,90
14-R1,Bottom,2.150,5.025,0
14-R2,Bottom,2.150,5.150,180
14-R3,Bottom,2.625,4.663,270
14-R4,Bottom,2.498,4.663,270
14-R5,Bottom,2.363,4.663,270
14-R6,Bottom,2.300,4.663,270
14-R7,Bottom,2.151,4.837,270
14-R8,Bottom,2.156,4.663,270
14-R9,Bottom,2.312,5.025,180
14-R10,Bottom,2.312,5.150,180
14-SW1,Top,2.787,5.275,180
14-U1,Top,2.863,4.888,0
14-U2,Bottom,2.983,4.682,270
14-X1,Top,2.613,5.087,270
15-C1,Bottom,4.556,4.950,180
15-C2,Top,4.025,5.138,270
15-C3,Top,4.025,4.994,270
15-C4,Bottom,4.556,5.025,180
15-C5,Top,4.500,4.562,0
15-C6,Bottom,4.569,4.487,180
15-C7,Top,4.388,5.144,270
15-C8,Bottom,4.556,4.800,180
15-C9,Bottom,4.556,4.875,180
15-D1,Top,4.275,4.575,270
15-D2,Bottom,4.187,4.668,270
15-D3,Bottom,4.060,4.665,270
15-D4,Bottom,3.925,4.663,270
15-D5,Bottom,3.725,4.663,270
15-D6,Bottom,3.586,4.831,90
15-D7,Bottom,3.594,4.669,270
15-F1,Top,3.825,5.275,0
15-F2,Top,4.619,4.712,0
15-F3,Bottom,3.825,5.300,0
15-F4,Bottom,4.425,4.300,0
15-JP1,Top,4.412,4.260,0
15-JP2,Bottom,4.100,5.025,0
