RefDes,Layer,LocationX,LocationY,Rotation
7-R3,Bottom,1.750,1.725,270
7-R4,Bottom,1.825,1.725,270
7-R5,Bottom,1.825,1.875,270
7-R6,Bottom,1.750,1.875,270
7-R7,Bottom,1.700,2.025,270
7-R8,Bottom,2.025,1.425,180
7-R9,Bottom,2.463,1.413,270
7-R10,Bottom,1.925,1.575,270
7-SW1,Top,2.200,1.900,90
7-U2,Bottom,2.225,1.675,270
8-C1,Top,3.688,2.038,180
8-FID1,Top,4.238,1.537,90
8-FID2,Top,3.175,1.750,0
8-FID4,Bottom,3.950,2.375,0
8-FID5,Bottom,3.175,1.750,0
8-JP1,Bottom,3.700,2.125,0
8-LED1,Top,3.212,2.200,180
8-R1,Top,3.212,2.025,90
8-R2,Top,3.438,2.025,270
8-R3,Top,4.150,2.025,270
8-R4,Top,3.287,2.025,270
8-R5,Top,4.075,2.025,270
8-R6,Top,3.975,2.025,270
8-R7,Top,3.512,2.025,270
8-R8,Top,3.362,2.025,270
8-R9,Top,3.875,2.025,270
8-R10,Top,3.450,2.350,90
8-R11,Top,3.950,2.387,90
8-SJ1,Bottom,3.975,2.075,270
8-U1,Bottom,4.125,2.075,270
8-U2,Top,3.675,2.125,90
9-C1,Bottom,0.375,0.250,180
9-C2,Bottom,0.450,0.950,90
9-C3,Bottom,0.375,0.725,180
9-C4,Bottom,0.375,0.800,180
9-C5,Bottom,1.075,0.675,0
9-C6,Bottom,0.963,0.237,180
9-D1,Bottom,0.225,0.675,270
9-F1,Top,0.375,0.275,0
9-F2,Top,0.950,1.050,0
9-F3,Bottom,0.950,1.050,0
9-F4,Bottom,0.300,0.075,0
9-JP1,Bottom,0.225,0.250,270
9-JP2,Bottom,0.700,0.825,0
9-L1,Bottom,0.225,0.450,90
9-LED1,Top,0.500,0.100,90
9-R1,Bottom,0.375,0.325,180
9-R2,Bottom,0.950,0.825,270
9-R3,Bottom,0.325,0.625,90
9-R4,Bottom,0.425,0.625,270
9-R5,Bottom,1.075,0.350,90
9-R6,Bottom,1.075,0.200,90
9-R7,Bottom,0.412,0.175,0
9-SW1,Top,0.300,0.075,0
9-SW2,Top,0.700,0.075,0
9-SW3,Top,1.100,0.075,0
9-U1,Top,0.700,0.730,0
9-U2,Bottom,0.375,0.450,180
9-U3,Bottom,0.700,0.338,180
9-U4,Bottom,1.075,0.537,0
10-C1,Bottom,1.875,0.250,180
10-C2,Bottom,1.950,0.950,90
10-C3,Bottom,1.875,0.725,180
10-C4,Bottom,1.875,0.800,180
10-C5,Bottom,2.575,0.675,0
10-C6,Bottom,2.463,0.237,180
10-D1,Bottom,1.725,0.675,270
10-F1,Top,1.875,0.275,0
10-F2,Top,2.450,1.050,0
10-F3,Bottom,2.450,1.050,0
10-F4,Bottom,1.800,0.075,0
10-JP1,Bottom,1.725,0.250,270
10-JP2,Bottom,2.200,0.825,0
10-L1,Bottom,1.725,0.450,90
10-LED1,Top,2.000,0.100,90
10-R1,Bottom,1.875,0.325,180
10-R2,Bottom,2.450,0.825,270
10-R3,Bottom,1.825,0.625,90
10-R4,Bottom,1.925,0.625,270
10-R5,Bottom,2.575,0.350,90
10-R6,Bottom,2.575,0.200,90
10-R7,Bottom,1.912,0.175,0
10-SW1,Top,1.800,0.075,0
10-SW2,Top,2.200,0.075,0
10-SW3,Top,2.600,0.075,0
10-U1,Top,2.200,0.730,0
10-U2,Bottom,1.875,0.450,180
10-U3,Bottom,2.200,0.338,180
10-U4,Bottom,2.575,0.537,0
11-C1,Bottom,3.963,0.675,90
11-F1,Bottom,3.200,0.200,0
11-F2,Bottom,3.950,1.050,0
11-JP1,Bottom,3.700,0.825,0
11-LED1,Bottom,4.137,0.938,180
11-R1,Bottom,4.137,0.825,180
11-R8,Bottom,3.950,0.425,0
11-R9,Bottom,3.500,0.550,90
11-U3,Bottom,3.738,0.275,90
12-C1,Bottom,5.150,0.537,0
12-F1,Bottom,4.725,0.250,0
12-F2,Bottom,5.450,0.900,0
12-JP1,Bottom,5.200,0.825,0
12-LED1,Bottom,5.600,0.750,180
12-R1,Bottom,5.600,0.575,180
12-R2,Bottom,4.750,0.700,180
12-R3,Bottom,4.750,0.500,180
12-R4,Bottom,4.750,0.800,180
12-R5,Bottom,4.750,0.600,180
12-R6,Bottom,4.750,0.900,180
12-R8,Bottom,4.950,0.550,270
12-R9,Bottom,5.338,0.525,270
12-U3,Bottom,5.150,0.450,270
13-C1,Bottom,6.550,1.137,180
13-C2,Bottom,6.550,0.950,0
13-F1,Top,6.525,0.862,0
13-F2,Bottom,6.850,0.900,0
13-F3,Top,6.250,1.150,0
13-F4,Bottom,6.250,1.150,0
13-LED1,Top,6.787,0.800,90
13-R1,Bottom,6.550,1.050,0
13-R2,Bottom,6.787,0.800,0
13-R8,Bottom,6.550,0.850,180
13-R9,Bottom,6.525,0.750,180
13-U2,Top,6.562,1.088,270
14-C1,Bottom,6.400,2.925,270
14-D1,Bottom,6.550,2.750,270
14-D2,Bottom,6.650,2.750,270
14-F1,Bottom,4.700,1.600,0
14-F2,Bottom,7.600,3.400,0
14-JP2,Bottom,5.550,3.700,180
14-JP4,Bottom,6.150,3.700,180
14-JP7,Bottom,6.750,3.700,180
14-R1,Bottom,6.500,2.925,90
14-R2,Bottom,6.600,2.925,90
14-R3,Bottom,6.675,2.925,90
14-R4,Bottom,6.400,2.750,90
14-U1,Bottom,6.450,3.150,180
15-BOT,Bottom,-0.250,-0.250,0
15-TOP,Top,-0.250,-0.250,0
16-BOT,Bottom,8.000,-0.250,0
16-TOP,Top,8.000,-0.250,0
17-BOT,Bottom,8.000,6.500,0
17-TOP,Top,8.000,6.500,0
